pygame 2.0.0 (SDL 2.0.12, python 3.8.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
winner is 1
         259118408 function calls (206057745 primitive calls) in 131.851 seconds

   Ordered by: internal time

   ncalls  		tottime  percall  cumtime  percall filename:lineno(function)
  5697485   	47.628    0.000   47.628    0.000 {built-in method pygame.event.get}
39705247/3000   35.614    0.000   78.017    0.026 copy.py:128(deepcopy)
3140368/3000    9.602    0.000   77.963    0.026 copy.py:226(_deepcopy_dict)
 79439112    	6.486    0.000    6.486    0.000 {method 'get' of 'dict' objects}
4316873/6000    5.009    0.000   77.782    0.013 copy.py:209(_deepcopy_tuple)
1578155/3471    4.138    0.000   77.995    0.022 copy.py:258(_reconstruct)
 53988829    	3.843    0.000    3.843    0.000 {built-in method builtins.id}
4316873/6000    2.313    0.000   77.772    0.013 copy.py:210(<listcomp>)
 28843843    	2.240    0.000    2.240    0.000 copy.py:182(_deepcopy_atomic)
  4984847    	2.111    0.000    2.915    0.000 copy.py:242(_keep_alive)
       15    	1.688    0.113   49.317    3.288 GomokuGamePlayer.py:43(get_action)
   260795    	1.278    0.000   15.271    0.000 copy.py:200(_deepcopy_list)
  3143481    	1.254    0.000    1.254    0.000 {method 'items' of 'dict' objects}
  3155368    	0.709    0.000    2.576    0.000 copy.py:263(<genexpr>)
  7814466    	0.682    0.000    0.682    0.000 {method 'append' of 'list' objects}
  1578155    	0.575    0.000    0.575    0.000 {method '__reduce_ex__' of 'object' objects}
  1578155    	0.531    0.000    0.714    0.000 copyreg.py:90(__newobj__)
        1    	0.439    0.439    0.439    0.439 {built-in method pygame.base.init}
  3164339    	0.426    0.000    0.426    0.000 {built-in method builtins.getattr}
    49301    	0.418    0.000    1.893    0.000 GomokuGameState.py:51(is_game_over)
  1575551    	0.409    0.000    0.409    0.000 {method 'update' of 'dict' objects}
   210365    	0.399    0.000    0.399    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    93683    	0.347    0.000    0.347    0.000 {method 'astype' of 'numpy.ndarray' objects}
       15    	0.317    0.021   80.955    5.397 MonteCarloTreeSearch.py:39(run)
  3229259    	0.315    0.000    0.315    0.000 {built-in method builtins.isinstance}
     3534    0.289    0.000    0.289    0.000 {built-in method nt.stat}
    57823    0.282    0.000    0.312    0.000 MonteCarloTreeNode.py:75(uct)
99880/99876    0.271    0.000    0.272    0.000 {method 'join' of 'str' objects}
  1579595    0.184    0.000    0.184    0.000 {built-in method __new__ of type object at 0x00007FFBBE0CB810}
  1577600    0.173    0.000    0.173    0.000 {built-in method builtins.hasattr}
    56/54    0.158    0.003    0.163    0.003 {built-in method _imp.create_dynamic}
        1    0.139    0.139    0.139    0.139 {built-in method pygame.base.quit}
  1587279    0.137    0.000    0.137    0.000 {built-in method builtins.issubclass}
    40849    0.090    0.000    0.090    0.000 GomokuGameState.py:100(<listcomp>)
      181    0.069    0.000    0.069    0.000 {built-in method io.open_code}
     3000    0.068    0.000    1.799    0.001 MonteCarloTreeSearch.py:74(simulate)
   210365    0.065    0.000    0.510    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.063    0.063    0.602    0.602 {built-in method pygame.display.set_mode}
    46141    0.057    0.000    0.070    0.000 GomokuGameState.py:28(take_action)
       60    0.054    0.001    0.054    0.001 {built-in method io.open}
