pygame 2.0.0 (SDL 2.0.12, python 3.8.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
winner is 0
         47353192 function calls (46585617 primitive calls) in 77.424 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3354475   36.101    0.000   36.101    0.000 {built-in method pygame.event.get}
  1698977    7.222    0.000    7.937    0.000 MonteCarloTreeNode.py:75(uct)
   766165    5.241    0.000   23.536    0.000 GomokuGameState.py:62(is_game_over)
  1444377    4.705    0.000    4.705    0.000 {method 'astype' of 'numpy.ndarray' objects}
  2328525    4.031    0.000    4.031    0.000 {method 'reduce' of 'numpy.ufunc' objects}
1450574/1450570    3.600    0.000    3.601    0.000 {method 'join' of 'str' objects}
   595465    1.277    0.000    1.277    0.000 GomokuGameState.py:111(<listcomp>)
       16    1.055    0.066   37.156    2.322 GomokuGamePlayer.py:43(get_action)
    45000    0.869    0.000   23.006    0.001 MonteCarloTreeSearch.py:74(simulate)
  1575583    0.863    0.000    9.362    0.000 {built-in method builtins.max}
   717312    0.788    0.000    0.974    0.000 GomokuGameState.py:39(take_action)
  1444377    0.700    0.000    0.700    0.000 {method 'diagonal' of 'numpy.ndarray' objects}
  2328525    0.695    0.000    5.237    0.000 {method 'all' of 'numpy.ndarray' objects}
   717925    0.587    0.000    0.966    0.000 twodim_base.py:46(fliplr)
806551/45000    0.571    0.000    0.571    0.000 MonteCarloTreeNode.py:98(backpropagate)
  1698977    0.561    0.000    8.498    0.000 MonteCarloTreeNode.py:61(<lambda>)
   726452    0.554    0.000    1.592    0.000 fromnumeric.py:1502(diagonal)
  1489483    0.542    0.000    0.542    0.000 {built-in method numpy.array}
  1489379    0.522    0.000    3.186    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  2328525    0.512    0.000    4.542    0.000 _methods.py:56(_all)
        1    0.438    0.438    0.438    0.438 {built-in method pygame.base.init}
  5096931    0.425    0.000    0.425    0.000 MonteCarloTreeNode.py:92(_N)
   585730    0.376    0.000    0.519    0.000 random.py:250(_randbelow_with_getrandbits)
   726452    0.375    0.000    2.312    0.000 <__array_function__ internals>:2(diagonal)
   717925    0.360    0.000    1.647    0.000 <__array_function__ internals>:2(fliplr)
  1444377    0.348    0.000    0.798    0.000 _asarray.py:86(asanyarray)
   585730    0.329    0.000    0.899    0.000 random.py:285(choice)
     3534    0.295    0.000    0.295    0.000 {built-in method nt.stat}
   595465    0.294    0.000    1.571    0.000 GomokuGameState.py:101(get_legal_action)
  1698977    0.290    0.000    0.290    0.000 MonteCarloTreeNode.py:86(_Q)
  1486248    0.240    0.000    0.240    0.000 {built-in method builtins.min}
    45000    0.227    0.000   14.371    0.000 MonteCarloTreeSearch.py:56(select_node)
   717335    0.186    0.000    0.186    0.000 {method 'remove' of 'list' objects}
    56/54    0.153    0.003    0.158    0.003 {built-in method _imp.create_dynamic}
1493250/1492323    0.122    0.000    0.122    0.000 {built-in method builtins.len}
   756462    0.117    0.000    0.117    0.000 {built-in method builtins.isinstance}
    45000    0.115    0.000    0.653    0.000 copy.py:128(deepcopy)
        1    0.112    0.112    0.112    0.112 {built-in method pygame.base.quit}
       15    0.107    0.007   38.708    2.581 MonteCarloTreeSearch.py:39(run)
    45000    0.103    0.000    0.114    0.000 copy.py:242(_keep_alive)
    45000    0.094    0.000    0.386    0.000 GomokuGameState.py:28(__deepcopy__)
   892728    0.088    0.000    0.088    0.000 {method 'getrandbits' of '_random.Random' objects}
   726452    0.087    0.000    0.087    0.000 fromnumeric.py:1498(_diagonal_dispatcher)
    45001    0.080    0.000    0.123    0.000 GomokuGameState.py:8(__init__)
   717925    0.075    0.000    0.075    0.000 twodim_base.py:42(_flip_dispatcher)
      181    0.070    0.000    0.070    0.000 {built-in method io.open_code}
    41148    0.066    0.000    0.141    0.000 MonteCarloTreeNode.py:31(expand)
    90403    0.063    0.000    9.133    0.000 MonteCarloTreeNode.py:55(best_child)
        1    0.061    0.061    0.629    0.629 {built-in method pygame.display.set_mode}
   585733    0.055    0.000    0.055    0.000 {method 'bit_length' of 'int' objects}
   131551    0.055    0.000    0.065    0.000 MonteCarloTreeNode.py:42(is_leaf)
       60    0.052    0.001    0.052    0.001 {built-in method io.open}
    45032    0.044    0.000    0.044    0.000 {built-in method numpy.zeros}
      354    0.043    0.000    0.043    0.000 {built-in method nt.listdir}
    41150    0.032    0.000    0.032    0.000 MonteCarloTreeNode.py:7(__init__)
    45000    0.027    0.000    0.158    0.000 <__array_function__ internals>:2(copy)
      181    0.020    0.000    0.020    0.000 {built-in method marshal.loads}
   135015    0.019    0.000    0.019    0.000 {built-in method builtins.id}
   103618    0.017    0.000    0.017    0.000 {method 'get' of 'dict' objects}
    45000    0.014    0.000    0.106    0.000 function_base.py:714(copy)
      227    0.013    0.000    0.013    0.000 {method 'read' of '_io.BufferedReader' objects}
